NO.	compound_name	IUPAC_name	SMILES	CID	logBB	BBB+/BBB-	Inchi	threshold	reference	group	comments
11	icotidine	2-[4-(3-methoxypyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1h-pyrimidin-6-one	COc1cccnc1CCCCNc1ncc(Cc2ccc(C)nc2)c(=O)[nH]1	72108	-2	BBB-	InChI=1S/C21H25N5O2/c1-15-8-9-16(13-24-15)12-17-14-25-21(26-20(17)27)23-10-4-3-6-18-19(28-2)7-5-11-22-18/h5,7-9,11,13-14H,3-4,6,10,12H2,1-2H3,(H2,23,25,26,27)		R2|R2|R2|R2|R5|R8|R11|R12|R18|R21|R25|R26|R27|R27|R35|R36|R39|R40|R43|R46|R47|R48|R49|R49|R4|	A	
12	ro 64-0802		CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@@H]1NCOC		-1.96	BBB-	InChI=1S/C14H26N2O4/c1-4-10(5-2)20-12-7-9(14(17)18)6-11(15)13(12)16-8-19-3/h7,10-13,16H,4-6,8,15H2,1-3H3,(H,17,18)/t11-,12+,13-/m0/s1		R18|R26|R27|	A	
13	temelastine	2-[4-(5-bromo-3-methylpyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1h-pyrimidin-6-one	Cc1ccc(Cc2cnc(NCCCCc3ncc(Br)cc3C)[nH]c2=O)cn1	55482	-1.9	BBB-	InChI=1S/C21H24BrN5O/c1-14-9-18(22)13-25-19(14)5-3-4-8-23-21-26-12-17(20(28)27-21)10-16-7-6-15(2)24-11-16/h6-7,9,11-13H,3-5,8,10H2,1-2H3,(H2,23,26,27,28)		R5|R2|R2|R2|R2|R8|R11|R12|R18|R21|R25|R26|R27|R27|R36|R39|R43|R46|R47|R48|R49|R49|R40|R4|	A	
14	disodium;(6r,7s)-7-[[4-(2-amino-1-carboxylato-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	7-[[4-(2-amino-1-carboxy-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	COC1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21	4630412	-1.89	BBB-	InChI=1S/C17H17N7O8S4/c1-23-16(20-21-22-23)34-4-5-3-33-15-17(32-2,14(31)24(15)7(5)11(29)30)19-9(26)13-35-12(36-13)6(8(18)25)10(27)28/h13,15H,3-4H2,1-2H3,(H2,18,25)(H,19,26)(H,27,28)(H,29,30)		R2|R2|R12|R25|R27|R35|R47|R27|R25|R40|	A	
15	cefotetan	disodium;(6r,7s)-7-[[4-(2-amino-1-carboxylato-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21	53025	-1.89	BBB-	InChI=1S/C17H17N7O8S4/c1-23-16(20-21-22-23)34-4-5-3-33-15-17(32-2,14(31)24(15)7(5)11(29)30)19-9(26)13-35-12(36-13)6(8(18)25)10(27)28/h13,15H,3-4H2,1-2H3,(H2,18,25)(H,19,26)(H,27,28)(H,29,30)/t13?,15-,17+/m1/s1		R8|R21|R21|R39|	A	
16	1848-75-5	n-phenyl-4,5-dihydro-1h-imidazol-2-amine	c1ccc(NC2=NCCN2)cc1	137235	-1.89	BBB-	InChI=1S/C9H11N3/c1-2-4-8(5-3-1)12-9-10-6-7-11-9/h1-5H,6-7H2,(H2,10,11,12)		R2|R2|R8|R25|R46|R47|R4|R40|	A	
17	2-[4-(5-bromo-3-methylpyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1,3-diazinan-4-one	2-[4-(5-bromo-3-methylpyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1,3-diazinan-4-one	Cc1ccc(CC2CNC(NCCCCc3ncc(Br)cc3C)NC2=O)cn1	74041479	-1.88	BBB-	InChI=1S/C21H28BrN5O/c1-14-9-18(22)13-25-19(14)5-3-4-8-23-21-26-12-17(20(28)27-21)10-16-7-6-15(2)24-11-16/h6-7,9,11,13,17,21,23,26H,3-5,8,10,12H2,1-2H3,(H,27,28)		R35|	A	
18	m2l-663581	7-chloro-3-[5-(1,2-dihydroxypropan-2-yl)-1,2,4-oxadiazol-3-yl]-5-methyl-4h-imidazo[1,5-a][1,4]benzodiazepin-6-one	CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O	10091748	-1.82	BBB-	InChI=1S/C17H16ClN5O4/c1-17(26,7-24)16-20-14(21-27-16)13-11-6-22(2)15(25)12-9(18)4-3-5-10(12)23(11)8-19-13/h3-5,8,24,26H,6-7H2,1-2H3		R2|R2|R8|R40|R3|R4|R12|R21|R25|R27|R36|R38|R41|R43|R46|R47|R49|R49|	A	
19	ritonavir		CC(C)c1nc(CN(C)C(=O)N[C@@H](C)C(=O)C[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)cs1		-1.82	BBB-	InChI=1S/C36H45N5O5S2/c1-24(2)34-39-29(22-47-34)20-41(4)35(44)38-25(3)32(42)17-28(15-26-11-7-5-8-12-26)18-33(43)31(16-27-13-9-6-10-14-27)40-36(45)46-21-30-19-37-23-48-30/h5-14,19,22-25,28,31,33,43H,15-18,20-21H2,1-4H3,(H,38,44)(H,40,45)/t25-,28+,31-,33-/m0/s1		R18|R26|R27|	A	
20	bis-hydroxylated-l-663581		CN1Cc2c(-c3noc(C(C)(CO)CO)n3)ncn2-c2cccc(Cl)c2C1=O		-1.82	BBB-	InChI=1S/C18H18ClN5O4/c1-18(7-25,8-26)17-21-15(22-28-17)14-12-6-23(2)16(27)13-10(19)4-3-5-11(13)24(12)9-20-14/h3-5,9,25-26H,6-8H2,1-2H3		R2|R2|R12|R25|R35|R39|R46|	A	
21			CN1Cc2c(-c3noc(C(C)(O)O)n3)ncn2-c2cccc(Cl)c2C1=O		-1.82	BBB-	InChI=1S/C16H14ClN5O4/c1-16(24,25)15-19-13(20-26-15)12-10-6-21(2)14(23)11-8(17)4-3-5-9(11)22(10)7-18-12/h3-5,7,24-25H,6H2,1-2H3		R35|	A	
22			CN1Cc2c(-c3noc([C@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O		-1.82	BBB-	InChI=1S/C17H16ClN5O4/c1-17(26,7-24)16-20-14(21-27-16)13-11-6-22(2)15(25)12-9(18)4-3-5-10(12)23(11)8-19-13/h3-5,8,24,26H,6-7H2,1-2H3/t17-/m1/s1		R48|	A	
23	raloxifene	[6-hydroxy-2-(4-hydroxyphenyl)-1-benzothiophen-3-yl]-[4-(2-piperidin-1-ylethoxy)phenyl]methanone	O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12	5035	-1.81	BBB-	InChI=1S/C28H27NO4S/c30-21-8-4-20(5-9-21)28-26(24-13-10-22(31)18-25(24)34-28)27(32)19-6-11-23(12-7-19)33-17-16-29-14-2-1-3-15-29/h4-13,18,30-31H,1-3,14-17H2		R18|R26|R27|	A	
24	telmesteine	3-ethoxycarbonyl-1,3-thiazolidine-4-carboxylic acid	CCOC(=O)N1CSCC1C(=O)O	11615393	-1.72	BBB-	InChI=1S/C7H11NO4S/c1-2-12-7(11)8-4-13-3-5(8)6(9)10/h5H,2-4H2,1H3,(H,9,10)		R18|R26|R27|	A	
25	chlorambucil	4-[4-[bis(2-chloroethyl)amino]phenyl]butanoic acid	O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1	2708	-1.7	BBB-	InChI=1S/C14H19Cl2NO2/c15-8-10-17(11-9-16)13-6-4-12(5-7-13)2-1-3-14(18)19/h4-7H,1-3,8-11H2,(H,18,19)		R18|R26|R27|R2|R2|R5|R8|R17|R21|R25|R27|R27|R35|R36|R39|R43|R46|R47|R49|R40|	A	
26	quercetin		O=C1c2c(O)cc(O)cc2CC(c2ccc(O)c(O)c2)C1O		-1.7	BBB-	InChI=1S/C16H14O6/c17-9-3-8-4-10(7-1-2-11(18)12(19)5-7)15(21)16(22)14(8)13(20)6-9/h1-3,5-6,10,15,17-21H,4H2		R2|R2|R25|R46|	A	
27	sucrose	(2r,3r,4s,5s,6r)-2-[(2s,3s,4s,5r)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	5988	-1.7	BBB-	InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1		R47|	A	
28	flurbiprofen	2-(3-fluoro-4-phenylphenyl)propanoic acid	CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1	3394	-1.68	BBB-	InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)		R2|R2|R18|R20|R25|R26|R27|R46|	A	
29	schembl18285121	n-[(z)-(2-hydroxy-3-prop-2-enylphenyl)methylideneamino]-2-[4-[(4-sulfamoylphenyl)methyl]piperazin-1-yl]acetamide	C=CCc1cccc(/C=N\NC(=O)CN2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)c1O	135905414	-1.67	BBB-	InChI=1S/C23H29N5O4S/c1-2-4-19-5-3-6-20(23(19)30)15-25-26-22(29)17-28-13-11-27(12-14-28)16-18-7-9-21(10-8-18)33(24,31)32/h2-3,5-10,15,30H,1,4,11-14,16-17H2,(H,26,29)(H2,24,31,32)/b25-15-		R47|	A	
30	d-mannitol	(2r,3r,4r,5r)-hexane-1,2,3,4,5,6-hexol	OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	6251	-1.6	BBB-	InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1		R31|R8|R21|	A	
31	mannitol (d-mannitol)	hexane-1,2,3,4,5,6-hexol	OCC(O)C(O)C(O)C(O)CO	453	-1.6	BBB-	InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2		R2|R2|R3|R18|R25|R26|R27|R27|R38|R40|R41|R43|R46|R47|	A	
32	compound 34	n-[3-[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]phenyl]acetamide	CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1	14022511	-1.57	BBB-	InChI=1S/C12H13N5OS/c1-7(18)15-9-4-2-3-8(5-9)10-6-19-12(16-10)17-11(13)14/h2-6H,1H3,(H,15,18)(H4,13,14,16,17)		R2|R2|R8|R40|R3|R3|R12|R18|R25|R26|R27|R35|R36|R38|R38|R41|R41|R43|R46|R47|R48|R49|R49|R4|	A	
33	y22	6-(trifluoromethyl)-3-[[4-(trifluoromethyl)phenyl]methylamino]quinoxaline-2-carboxylic acid	O=C(O)c1nc2ccc(C(F)(F)F)cc2nc1NCc1ccc(C(F)(F)F)cc1	86287487	-1.57	BBB-	InChI=1S/C18H11F6N3O2/c19-17(20,21)10-3-1-9(2-4-10)8-25-15-14(16(28)29)26-12-6-5-11(18(22,23)24)7-13(12)27-15/h1-7H,8H2,(H,25,27)(H,28,29)		R11|	A	
34	l4	disodium;[6-[5-acetamido-4,6-dihydroxy-2-(sulfonatooxymethyl)oxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl sulfate	CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(COS(=O)(=O)O)C(O)C(O)C2O)C1O	75212846	-1.54	BBB-	InChI=1S/C14H25NO17S2/c1-4(16)15-7-9(18)12(6(30-13(7)21)3-29-34(25,26)27)32-14-11(20)10(19)8(17)5(31-14)2-28-33(22,23)24/h5-14,17-21H,2-3H2,1H3,(H,15,16)(H,22,23,24)(H,25,26,27)		R11|	A	
35	chebi: 145922	1-cyano-3-[3-[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]phenyl]-2-methylguanidine	CN=C(NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1	14022519	-1.54	BBB-	InChI=1S/C13H14N8S/c1-17-12(18-7-14)19-9-4-2-3-8(5-9)10-6-22-13(20-10)21-11(15)16/h2-6H,1H3,(H2,17,18,19)(H4,15,16,20,21)		R2|R2|R2|R2|R3|R3|R8|R12|R18|R21|R25|R25|R26|R27|R27|R35|R36|R38|R38|R40|R41|R41|R43|R46|R46|R47|R48|R49|R4|R41|	A	
36	guanidinothiazol analogue 17 ac1lbibi -- pubmed	2-[4-(3,4-dihydroxyphenyl)-1,3-thiazol-2-yl]guanidine	NC(N)=Nc1nc(-c2ccc(O)c(O)c2)cs1	536278	-1.54	BBB-	InChI=1S/C10H10N4O2S/c11-9(12)14-10-13-6(4-17-10)5-1-2-7(15)8(16)3-5/h1-4,15-16H,(H4,11,12,13,14)		R47|	A	
37	cube-2		CC(C)CC(=O)c1ccc(OCCCCO)cc1O		-1.52	BBB-	InChI=1S/C15H22O4/c1-11(2)9-14(17)13-6-5-12(10-15(13)18)19-8-4-3-7-16/h5-6,10-11,16,18H,3-4,7-9H2,1-2H3		R18|R26|R27|	A	
38	cube-6		CC(C)CC(=O)c1ccc(OCCCCOc2ccc(CCC(=O)O)c(O)c2)cc1O		-1.52	BBB-	InChI=1S/C24H30O7/c1-16(2)13-22(26)20-9-8-19(15-23(20)27)31-12-4-3-11-30-18-7-5-17(21(25)14-18)6-10-24(28)29/h5,7-9,14-16,25,27H,3-4,6,10-13H2,1-2H3,(H,28,29)		R18|R26|R27|	A	
39	cube-10		CC(C)CC(=O)c1ccc(OCCCCOc2ccc3ccc(=O)oc3c2)cc1O		-1.52	BBB-	InChI=1S/C24H26O6/c1-16(2)13-21(25)20-9-8-18(14-22(20)26)28-11-3-4-12-29-19-7-5-17-6-10-24(27)30-23(17)15-19/h5-10,14-16,26H,3-4,11-13H2,1-2H3		R18|R26|R27|	A	
40	chembl151192	n-[2-[4-[3-(ethylamino)pyridin-2-yl]piperazine-1-carbonyl]-1h-indol-5-yl]methanesulfonamide	CCNc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1	468305	-1.52	BBB-	InChI=1S/C21H26N6O3S/c1-3-22-18-5-4-8-23-20(18)26-9-11-27(12-10-26)21(28)19-14-15-13-16(25-31(2,29)30)6-7-17(15)24-19/h4-8,13-14,22,24-25H,3,9-12H2,1-2H3		R46|	A	
41	amethopterin	2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzoyl]amino]pentanedioic acid	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1	4112	-1.52	BBB-	InChI=1S/C20H22N8O5/c1-28(9-11-8-23-17-15(24-11)16(21)26-20(22)27-17)12-4-2-10(3-5-12)18(31)25-13(19(32)33)6-7-14(29)30/h2-5,8,13H,6-7,9H2,1H3,(H,25,31)(H,29,30)(H,32,33)(H4,21,22,23,26,27)		R12|R25|R35|R47|R40|R2|R2|R8|R21|R27|	A	
42	rifampicin		CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C/C(C)=C\C=C\[C@@H](C)C(O)[C@@H](C)[C@H](O)[C@H](C)[C@H](OC(C)=O)[C@@H]1C		-1.52	BBB-	InChI=1S/C44H60N4O12/c1-22-12-11-13-23(2)36(51)25(4)37(52)26(5)41(59-28(7)49)24(3)30(57-10)14-19-58-44(8)43(56)34-32-33(38(53)27(6)42(34)60-44)40(55)35(46-31(50)20-22)29(39(32)54)21-45-48-17-15-47(9)16-18-48/h11-14,19,21,23-26,30,36-37,41,51-55H,15-18,20H2,1-10H3,(H,46,50)/b13-11+,19-14+,22-12-,45-21+/t23-,24-,25-,26+,30+,36?,37+,41-,44+/m1/s1		R25|	A	
43	baclofen	4-amino-3-(4-chlorophenyl)butanoic acid	NCC(CC(=O)O)c1ccc(Cl)cc1	2284	-1.52	BBB-	InChI=1S/C10H12ClNO2/c11-9-3-1-7(2-4-9)8(6-12)5-10(13)14/h1-4,8H,5-6,12H2,(H,13,14)		R2|R2|R25|R46|	A	
44	etoposide	(5s,5ar,8ar,9r)-5-[[(2r,4ar,6r,7r,8r,8as)-7,8-dihydroxy-2-methyl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-6-yl]oxy]-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5h-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one	COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O	36462	-1.5	BBB-	InChI=1S/C29H32O13/c1-11-36-9-20-27(40-11)24(31)25(32)29(41-20)42-26-14-7-17-16(38-10-39-17)6-13(14)21(22-15(26)8-37-28(22)33)12-4-18(34-2)23(30)19(5-12)35-3/h4-7,11,15,20-22,24-27,29-32H,8-10H2,1-3H3/t11-,15+,20-,21-,22+,24-,25-,26-,27-,29+/m1/s1		R39|R20|	A	
45	methotrexate	(2s)-2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzoyl]amino]pentanedioic acid	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1	126941	-1.5	BBB-	InChI=1S/C20H22N8O5/c1-28(9-11-8-23-17-15(24-11)16(21)26-20(22)27-17)12-4-2-10(3-5-12)18(31)25-13(19(32)33)6-7-14(29)30/h2-5,8,13H,6-7,9H2,1H3,(H,25,31)(H,29,30)(H,32,33)(H4,21,22,23,26,27)/t13-/m0/s1		R39|R43|R5|	A	
46	imatinib	4-[(4-methylpiperazin-1-yl)methyl]-n-[4-methyl-3-[(4-pyridin-3-ylpyrimidin-2-yl)amino]phenyl]benzamide	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1	5291	-1.5	BBB-	InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)		R18|R26|R27|	A	
47	.alpha.-d-ddc	4-amino-1-[(2s,5s)-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one	Nc1ccn([C@@H]2CC[C@@H](CO)O2)c(=O)n1	676643	-1.5	BBB-	InChI=1S/C9H13N3O3/c10-7-3-4-12(9(14)11-7)8-2-1-6(5-13)15-8/h3-4,6,8,13H,1-2,5H2,(H2,10,11,14)/t6-,8-/m0/s1		R2|R2|R25|R46|	A	
