NO.	compound_name	IUPAC_name	SMILES	CID	logBB	Inchi	reference	group	comments
11	guanidinothiazol analogue 17 ac1lbibi -- pubmed	2-[4-(3,4-dihydroxyphenyl)-1,3-thiazol-2-yl]guanidine	C1=CC(=C(C=C1C2=CSC(=N2)N=C(N)N)O)O	536278.0|	-1.54	InChI=1S/C10H10N4O2S/c11-9(12)14-10-13-6(4-17-10)5-1-2-7(15)8(16)3-5/h1-4,15-16H,(H4,11,12,13,14)	R47|	A	
12	chembl151192	n-[2-[4-[3-(ethylamino)pyridin-2-yl]piperazine-1-carbonyl]-1h-indol-5-yl]methanesulfonamide	CCNC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C	468305.0|	-1.52	InChI=1S/C21H26N6O3S/c1-3-22-18-5-4-8-23-20(18)26-9-11-27(12-10-26)21(28)19-14-15-13-16(25-31(2,29)30)6-7-17(15)24-19/h4-8,13-14,22,24-25H,3,9-12H2,1-2H3	R46|	A	
13	rifampicin		O=C1C2=C(C(O)=C(/C=N/N3CCN(C)CC3)C(NC(C/C(C)=C\C=C\[C@@H](C)C4O)=O)=C5O)C5=C(O)C(C)=C2O[C@]1(C)O/C=C/[C@@H]([C@H]([C@H]([C@H]([C@H]([C@@H]4C)O)C)OC(C)=O)C)OC	nan|	-1.52	InChI=1S/C44H60N4O12/c1-22-12-11-13-23(2)36(51)25(4)37(52)26(5)41(59-28(7)49)24(3)30(57-10)14-19-58-44(8)43(56)34-32-33(38(53)27(6)42(34)60-44)40(55)35(46-31(50)20-22)29(39(32)54)21-45-48-17-15-47(9)16-18-48/h11-14,19,21,23-26,30,36-37,41,51-55H,15-18,20H2,1-10H3,(H,46,50)/b13-11+,19-14+,22-12-,45-21+/t23-,24-,25-,26+,30+,36?,37+,41-,44+/m1/s1	R25|	A	
14	mdl 63,246	(1s,2r,19r,22r,34s,37r,40r,52s)-5,32-dichloro-64-[(2s,3r,4r,5s,6r)-4,5-dihydroxy-6-(hydroxymethyl)-3-(10-methylundecanoylamino)oxan-2-yl]oxy-n-[3-(dimethylamino)propyl]-2,26,31,44,49-pentahydroxy-22-(methylamino)-21,35,38,54,56,59-hexaoxo-47-[(2r,3s,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-7,13,28-trioxa-20,36,39,53,55,58-hexazaundecacyclo[38.14.2.23,6.214,17.219,34.18,12.123,27.129,33.141,45.010,37.046,51]hexahexaconta-3,5,8,10,12(64),14(63),15,17(62),23(61),24,26,29(60),30,32,41(57),42,44,46(51),47,49,65-henicosaene-52-carboxamide	CC(C)CCCCCCCCC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=C3C=C4C=C2OC5=C(C=C(C=C5)[C@H]([C@H]6C(=O)N[C@@H](C7=C(C(=CC(=C7)O)O[C@@H]8[C@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C9=C(C=CC(=C9)[C@H](C(=O)N6)NC(=O)[C@@H]4NC(=O)[C@@H]1C2=C(C(=CC(=C2)OC2=C(C=CC(=C2)[C@H](C(=O)N[C@H](CC2=CC=C(O3)C=C2)C(=O)N1)NC)O)O)Cl)O)C(=O)NCCCN(C)C)O)Cl)CO)O)O	17748716.0|	-1.48	InChI=1S/C88H102Cl2N10O27/c1-39(2)13-10-8-6-7-9-11-14-63(107)94-72-76(111)74(109)61(37-101)125-87(72)127-79-59-31-44-32-60(79)123-56-24-19-43(29-51(56)89)73(108)71-86(120)98-69(81(115)92-25-12-26-100(4)5)49-33-45(103)34-58(124-88-78(113)77(112)75(110)62(38-102)126-88)64(49)48-28-41(17-22-53(48)104)67(83(117)99-71)95-84(118)68(44)96-85(119)70-50-35-47(36-55(106)65(50)90)122-57-30-42(18-23-54(57)105)66(91-3)82(116)93-52(80(114)97-70)27-40-15-20-46(121-59)21-16-40/h15-24,28-36,39,52,61-62,66-78,87-88,91,101-106,108-113H,6-14,25-27,37-38H2,1-5H3,(H,92,115)(H,93,116)(H,94,107)(H,95,118)(H,96,119)(H,97,114)(H,98,120)(H,99,117)/t52-,61-,62-,66-,67-,68-,69+,70+,71+,72-,73-,74-,75-,76-,77+,78+,87+,88+/m1/s1	R20|	A	
15	cimetidine	1-cyano-2-methyl-3-[2-[(4-methyl-4h-imidazol-5-yl)methylsulfanyl]ethyl]guanidine	CC1C(=NC=N1)CSCCNC(=NC)NC#N	152743279.0|	-1.42	InChI=1S/C10H16N6S/c1-8-9(16-7-15-8)5-17-4-3-13-10(12-2)14-6-11/h7-8H,3-5H2,1-2H3,(H2,12,13,14)	R36|	A	
16	vardenafil	2-[2-ethoxy-5-(4-ethylpiperazin-1-yl)sulfonylphenyl]-5-methyl-7-propyl-3h-imidazo[5,1-f][1,2,4]triazin-4-one	CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C	135400189.0|	-1.4	InChI=1S/C23H32N6O4S/c1-5-8-20-24-16(4)21-23(30)25-22(26-29(20)21)18-15-17(9-10-19(18)33-7-3)34(31,32)28-13-11-27(6-2)12-14-28/h9-10,15H,5-8,11-14H2,1-4H3,(H,25,26,30)	R47|	A	
17	sbb079053	1h-imidazo[1,2-a]pyridin-4-ium-2-ylmethanamine	C1=CC=[N+]2C=C(NC2=C1)CN	2050078.0|	-1.4	InChI=1S/C8H9N3/c9-5-7-6-11-4-2-1-3-8(11)10-7/h1-4,6H,5,9H2/p+1	R8|	A	
18	4-aminobenzoic acid	4-aminobenzoic acid	C1=CC(=CC=C1C(=O)O)N	978.0|	-1.4	InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)	R47|	A	
19	1,3-dimethyl-2-(2-methylphenylimino)imidazolidine	1,3-dimethyl-n-(2-methylphenyl)imidazolidin-2-imine	CC1=CC=CC=C1N=C2N(CCN2C)C	12032949.0|	-1.39	InChI=1S/C12H17N3/c1-10-6-4-5-7-11(10)13-12-14(2)8-9-15(12)3/h4-7H,8-9H2,1-3H3	R8|	A	
20	dcka	5,7-dichloro-4-oxo-1h-quinoline-2-carboxylic acid	C1=C(C=C(C2=C1NC(=CC2=O)C(=O)O)Cl)Cl	1779.0|	-1.33	InChI=1S/C10H5Cl2NO3/c11-4-1-5(12)9-6(2-4)13-7(10(15)16)3-8(9)14/h1-3H,(H,13,14)(H,15,16)	R20|	A	
21	sildenafil	5-[2-ethoxy-5-(4-methylpiperazin-1-yl)sulfonylphenyl]-1-methyl-3-propyl-6h-pyrazolo[4,3-d]pyrimidin-7-one	CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C	135398744.0|	-1.3	InChI=1S/C22H30N6O4S/c1-5-7-17-19-20(27(4)25-17)22(29)24-21(23-19)16-14-15(8-9-18(16)32-6-2)33(30,31)28-12-10-26(3)11-13-28/h8-9,14H,5-7,10-13H2,1-4H3,(H,23,24,29)	R47|	A	
22	n-(2,4-dimethylphenyl)-1,3-dimethylimidazolidin-2-imine	n-(2,4-dimethylphenyl)-1,3-dimethylimidazolidin-2-imine	CC1=CC(=C(C=C1)N=C2N(CCN2C)C)C	21675832.0|	-1.3	InChI=1S/C13H19N3/c1-10-5-6-12(11(2)9-10)14-13-15(3)7-8-16(13)4/h5-6,9H,7-8H2,1-4H3	R8|	A	
23	17 zm0241385	4-[2-[[7-amino-2-(furan-2-yl)-[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl]amino]ethyl]phenol	C1=COC(=C1)C2=NN3C(=NC(=NC3=N2)NCCC4=CC=C(C=C4)O)N	176407.0|	-1.3	InChI=1S/C16H15N7O2/c17-14-20-15(18-8-7-10-3-5-11(24)6-4-10)21-16-19-13(22-23(14)16)12-2-1-9-25-12/h1-6,9,24H,7-8H2,(H3,17,18,19,20,21,22)	R47|	A	
24	l-dideoxyinosine	9-[(2s,5r)-5-(hydroxymethyl)oxolan-2-yl]-1h-purin-6-one	C1C[C@H](O[C@H]1CO)N2C=NC3=C2N=CNC3=O	135483777.0|	-1.3	InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/t6-,7+/m1/s1	R48|	A	
25			CN\C(NCCSC1=CC=C(CN(C)C)O1)=C\[N+]([O-])=O	nan|	-1.23	InChI=1S/C12H20N4O3S/c1-13-11(9-16(17)18)14-6-7-20-12-5-4-10(19-12)8-15(2)3/h4-5,9,13-14H,6-8H2,1-3H3/b11-9-	R48|	A	
26	n-[3-[5-[(dimethylamino)methyl]furan-2-yl]sulfanylpropyl]-n'-methyl-2-nitroethanimidamide	n-[3-[5-[(dimethylamino)methyl]furan-2-yl]sulfanylpropyl]-n'-methyl-2-nitroethanimidamide	CN=C(C[N+](=O)[O-])NCCCSC1=CC=C(O1)CN(C)C	54429646.0|	-1.23	InChI=1S/C13H22N4O3S/c1-14-12(10-17(18)19)15-7-4-8-21-13-6-5-11(20-13)9-16(2)3/h5-6H,4,7-10H2,1-3H3,(H,14,15)	R8|	A	
27	y12	[2-acetyloxy-4-[(e)-3-oxo-3-(2-phenylethylamino)prop-1-enyl]phenyl] acetate	CC(=O)OC1=C(C=C(C=C1)/C=C/C(=O)NCCC2=CC=CC=C2)OC(=O)C	11957394.0|	-1.17	InChI=1S/C21H21NO5/c1-15(23)26-19-10-8-18(14-20(19)27-16(2)24)9-11-21(25)22-13-12-17-6-4-3-5-7-17/h3-11,14H,12-13H2,1-2H3,(H,22,25)/b11-9+	R11|	A	
28	acrivastine	(e)-3-[6-[(e)-1-(4-methylphenyl)-3-pyrrolidin-1-ylprop-1-enyl]pyridin-2-yl]prop-2-enoic acid	CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC(=N3)/C=C/C(=O)O	5284514.0|	-1.14	InChI=1S/C22H24N2O2/c1-17-7-9-18(10-8-17)20(13-16-24-14-2-3-15-24)21-6-4-5-19(23-21)11-12-22(25)26/h4-13H,2-3,14-16H2,1H3,(H,25,26)/b12-11+,20-13+	R47|	A	
29	compound 35		CN(C)Cc1oc(CSCCNC2C([N+]([O-])=O)=CC=N2)cc1	nan|	-1.12	InChI=1S/C14H20N4O3S/c1-17(2)9-11-3-4-12(21-11)10-22-8-7-16-14-13(18(19)20)5-6-15-14/h3-6,14,16H,7-10H2,1-2H3	R36|	A	
30	139264-82-7	4-[[3-[2-(dimethylamino)ethyl]-1h-indol-5-yl]methyl]-1,3-oxazolidin-2-one	CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3	5731.0|	-1.01	InChI=1S/C16H21N3O2/c1-19(2)6-5-12-9-17-15-4-3-11(8-14(12)15)7-13-10-21-16(20)18-13/h3-4,8-9,13,17H,5-7,10H2,1-2H3,(H,18,20)	R47|	A	
31	ivermectin	6'-butan-2-yl-21,24-dihydroxy-12-[5-(5-hydroxy-4-methoxy-6-methyloxan-2-yl)oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one	CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C	4330618.0|	-1.0	InChI=1S/C48H74O14/c1-11-25(2)43-28(5)17-18-47(62-43)23-34-20-33(61-47)16-15-27(4)42(26(3)13-12-14-32-24-55-45-40(49)29(6)19-35(46(51)58-34)48(32,45)52)59-39-22-37(54-10)44(31(8)57-39)60-38-21-36(53-9)41(50)30(7)56-38/h12-15,19,25-26,28,30-31,33-45,49-50,52H,11,16-18,20-24H2,1-10H3	R47|	A	
32	ac1nfq3w	2-(1,3-benzodioxol-5-yl)-6-methyl-3,6,17-triazatetracyclo[8.7.0.03,8.011,16]heptadeca-1(10),11,13,15-tetraene-4,7-dione	CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36	4687521.0|	-1.0	InChI=1S/C22H19N3O4/c1-24-10-19(26)25-16(22(24)27)9-14-13-4-2-3-5-15(13)23-20(14)21(25)12-6-7-17-18(8-12)29-11-28-17/h2-8,16,21,23H,9-11H2,1H3	R47|	A	
33	dm-44	methyl (1s,6r)-6-methyl-4-(3-nitroanilino)-2-oxocyclohex-3-ene-1-carboxylate	C[C@@H]1CC(=CC(=O)[C@H]1C(=O)OC)NC2=CC(=CC=C2)[N+](=O)[O-]	10063598.0|	-1.0	InChI=1S/C15H16N2O5/c1-9-6-11(8-13(18)14(9)15(19)22-2)16-10-4-3-5-12(7-10)17(20)21/h3-5,7-9,14,16H,6H2,1-2H3/t9-,14+/m1/s1	R8|	A	
34	chembl3264225	(e)-3-[3,4-bis(2-hydroxyethoxy)phenyl]-n-[2-(2-methylindol-1-yl)ethyl]prop-2-enamide	CC1=CC2=CC=CC=C2N1CCNC(=O)/C=C/C3=CC(=C(C=C3)OCCO)OCCO	86765134.0|	-1.0	InChI=1S/C24H28N2O5/c1-18-16-20-4-2-3-5-21(20)26(18)11-10-25-24(29)9-7-19-6-8-22(30-14-12-27)23(17-19)31-15-13-28/h2-9,16-17,27-28H,10-15H2,1H3,(H,25,29)/b9-7+	R47|	A	
35	nelfinavir		O=[C@@](CNC(C)(C)C)[C@H](CC(CCCC3)C3C2)N2C[C@H](O)[C@@H](NC(C4=C(C)C(O)=CC=C4)=O)CSC1=CC=CC=C1	nan|	-0.93	InChI=1S/C33H47N3O4S/c1-22-26(15-10-16-29(22)37)32(40)35-27(21-41-25-13-6-5-7-14-25)31(39)20-36-19-24-12-9-8-11-23(24)17-28(36)30(38)18-34-33(2,3)4/h5-7,10,13-16,23-24,27-28,31,34,37,39H,8-9,11-12,17-21H2,1-4H3,(H,35,40)/t23?,24?,27-,28-,31-/m0/s1	R25|	A	
36	chembl243790	6-(4-ethylsulfonylphenyl)-5-[4-(2-piperidin-1-ylethoxy)phenoxy]naphthalen-2-ol	CCS(=O)(=O)C1=CC=C(C=C1)C2=C(C3=C(C=C2)C=C(C=C3)O)OC4=CC=C(C=C4)OCCN5CCCCC5	10324755.0|	-0.92	InChI=1S/C31H33NO5S/c1-2-38(34,35)28-14-6-23(7-15-28)29-16-8-24-22-25(33)9-17-30(24)31(29)37-27-12-10-26(11-13-27)36-21-20-32-18-4-3-5-19-32/h6-17,22,33H,2-5,18-21H2,1H3	R47|	A	
37	mk-0969	(2r)-n-[1-[(6-aminopyridin-2-yl)methyl]piperidin-4-yl]-2-[(1r)-3,3-difluorocyclopentyl]-2-hydroxy-2-phenylacetamide	C1CC(C[C@@H]1[C@@](C2=CC=CC=C2)(C(=O)NC3CCN(CC3)CC4=NC(=CC=C4)N)O)(F)F	9846311.0|	-0.89	InChI=1S/C24H30F2N4O2/c25-23(26)12-9-18(15-23)24(32,17-5-2-1-3-6-17)22(31)29-19-10-13-30(14-11-19)16-20-7-4-8-21(27)28-20/h1-8,18-19,32H,9-16H2,(H2,27,28)(H,29,31)/t18-,24+/m1/s1	R8|	A	
38	s118		CC3CCN(CCC1CCN1S(=O)(=O)/C2=C/C(O)=C\CC2)CC3	nan|	-0.89	InChI=1S/C17H28N2O3S/c1-14-5-9-18(10-6-14)11-7-15-8-12-19(15)23(21,22)17-4-2-3-16(20)13-17/h3,13-15,20H,2,4-12H2,1H3	R45|	A	
39	chembl357268	benzyl n-[[4-[(2-aminophenyl)carbamoyl]phenyl]methyl]carbamate	C1=CC=C(C=C1)COC(=O)NCC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3N	5044.0|	-0.85	InChI=1S/C22H21N3O3/c23-19-8-4-5-9-20(19)25-21(26)18-12-10-16(11-13-18)14-24-22(27)28-15-17-6-2-1-3-7-17/h1-13H,14-15,23H2,(H,24,27)(H,25,26)	R47|	A	
40	ly2066948	6-(4-methylsulfonylphenyl)-5-[4-(2-piperidin-1-ylethoxy)phenoxy]naphthalen-2-ol	CS(=O)(=O)C1=CC=C(C=C1)C2=C(C3=C(C=C2)C=C(C=C3)O)OC4=CC=C(C=C4)OCCN5CCCCC5	5327043.0|	-0.81	InChI=1S/C30H31NO5S/c1-37(33,34)27-13-5-22(6-14-27)28-15-7-23-21-24(32)8-16-29(23)30(28)36-26-11-9-25(10-12-26)35-20-19-31-17-3-2-4-18-31/h5-16,21,32H,2-4,17-20H2,1H3	R47|	A	
41	penicillic acid	(2z)-3-methoxy-5-methyl-4-oxohexa-2,5-dienoic acid	CC(=C)C(=O)/C(=C/C(=O)O)/OC	1268111.0|	-0.8	InChI=1S/C8H10O4/c1-5(2)8(11)6(12-3)4-7(9)10/h4H,1H2,2-3H3,(H,9,10)/b6-4-	R20|	A	
42	compound 4b [pmid: 16099654]	n-(2-ethyltetrazol-5-yl)-9h-xanthene-9-carboxamide	CCN1N=C(N=N1)NC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24	9923127.0|	-0.8	InChI=1S/C17H15N5O2/c1-2-22-20-17(19-21-22)18-16(23)15-11-7-3-5-9-13(11)24-14-10-6-4-8-12(14)15/h3-10,15H,2H2,1H3,(H,18,20,23)	R47|	A	
43	compound 13	2-[[5-chloro-2-[4-[(4-methylpiperazin-1-yl)methyl]anilino]pyrimidin-4-yl]amino]-n,n-dimethylbenzenesulfonamide	CN1CCN(CC1)CC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)N(C)C)Cl	56839178.0|	-0.8	InChI=1S/C24H30ClN7O2S/c1-30(2)35(33,34)22-7-5-4-6-21(22)28-23-20(25)16-26-24(29-23)27-19-10-8-18(9-11-19)17-32-14-12-31(3)13-15-32/h4-11,16H,12-15,17H2,1-3H3,(H2,26,27,28,29)	R20|	A	
44	cyclosporine a	30-ethyl-33-[(e)-1-hydroxy-2-methylpent-3-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-3,6,9,18,24-pentakis(2-methylpropyl)-21-propan-2-yl-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone	CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)/C=C/C)O)C)CC(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C	22184393.0|	-0.78	InChI=1S/C62H111N11O12/c1-25-27-40(15)52(75)51-56(79)65-43(26-2)58(81)67(18)33-49(74)68(19)44(28-34(3)4)55(78)66-50(39(13)14)62(85)69(20)45(29-35(5)6)54(77)63-41(16)53(76)64-42(17)57(80)70(21)46(30-36(7)8)59(82)71(22)47(31-37(9)10)60(83)72(23)48(32-38(11)12)61(84)73(51)24/h25,27,34-48,50-52,75H,26,28-33H2,1-24H3,(H,63,77)(H,64,76)(H,65,79)(H,66,78)/b27-25+	R40|	A	
45	cyclosporine a		O=C1N([C@@H](C(N([C@@H](C(N[C@@H](C(N(C)CC(N([C@@H](C(N[C@@H](C(N([C@@H](C(N[C@@H](C(N[C@@H](C(N([C@@H](C(N([C@@H]1CC(C)C)C)=O)CC(C)C)C)=O)C)=O)C)=O)CC(C)C)C)=O)C(C)C)=O)CC(C)C)C)=O)=O)CC)=O)[C@@H]([C@H](C)/C=C/C)O)C)=O)CC(C)C)C	nan|	-0.78	InChI=1S/C62H111N11O12/c1-25-27-40(15)52(75)51-56(79)65-43(26-2)58(81)67(18)33-49(74)68(19)44(28-34(3)4)55(78)66-50(39(13)14)62(85)69(20)45(29-35(5)6)54(77)63-41(16)53(76)64-42(17)57(80)70(21)46(30-36(7)8)59(82)71(22)47(31-37(9)10)60(83)72(23)48(32-38(11)12)61(84)73(51)24/h25,27,34-48,50-52,75H,26,28-33H2,1-24H3,(H,63,77)(H,64,76)(H,65,79)(H,66,78)/b27-25+/t40-,41-,42-,43-,44-,45-,46-,47-,48-,50-,51-,52-/m1/s1	R25|	A	
